nta_id,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast
BK09,2.6230055443391165e-97,Low,Medium-Low Risk,Low confidence,0.5828004398290942,0.0
BK17,9.080048657887768e-94,Low,Medium-Low Risk,Low confidence,,0.0
BK19,1.0000000000000004,High,High Risk,High confidence,0.4677245593627736,0.0
BK21,1.0,High,Medium-High Risk,High confidence,,0.0
BK23,9.034451528252851e-45,Low,Low Risk,Low confidence,,0.0
BK25,2.1307118788642615e-98,Low,Medium-Low Risk,Low confidence,0.5400791338760287,0.0
BK26,1.1677376975810058e-96,Low,Medium-Low Risk,Low confidence,,0.0
BK27,3.532798198016734e-99,Low,Medium-Low Risk,Low confidence,0.5082989536764628,0.0
BK28,1.0,High,Medium-High Risk,High confidence,0.38504872753184544,0.0
BK29,1.0,High,High Risk,High confidence,0.5452420008849916,0.0
BK30,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
BK31,0.9999999999999998,High,High Risk,High confidence,0.5010786691851163,0.0
BK32,0.9999999999999999,High,Medium-High Risk,High confidence,0.32863139020718946,0.0
BK33,0.9999999999999999,High,High Risk,High confidence,0.2566246356259694,0.0
BK34,1.0,High,Medium-High Risk,High confidence,0.12033195843319713,0.0
BK35,1.0,High,Medium-High Risk,High confidence,0.32594369267332096,0.0
BK37,0.9999999999999999,High,Medium-High Risk,High confidence,0.40142621714581245,0.0
BK38,1.0000000000000002,High,High Risk,High confidence,0.40664341761206013,0.0
BK40,7.225821295916371e-100,Low,Medium-Low Risk,Low confidence,,0.0
BK41,1.0,High,High Risk,High confidence,0.9683600119953806,0.0
BK42,1.0,High,Medium-High Risk,High confidence,0.5210031670146805,0.0
BK43,1.0,High,High Risk,High confidence,0.45183879104724856,0.0
BK44,1.0,High,High Risk,High confidence,0.4718424545800418,0.0
BK45,1.4084211622531827e-94,Low,Medium-Low Risk,Low confidence,,0.0
BK46,1.8792564060185124e-44,Low,Low Risk,Low confidence,0.24343313942679,0.0
BK50,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
BK58,1.0,High,Medium-High Risk,High confidence,0.8110794706741985,0.0
BK60,0.9999999999999999,High,Medium-High Risk,High confidence,0.5859760116238225,0.0
BK61,1.0,High,Medium-High Risk,High confidence,,0.0
BK63,6.033708541164354e-94,Low,Medium-Low Risk,Low confidence,0.43615272826859214,0.0
BK64,1.0,High,Medium-High Risk,High confidence,,0.0
BK68,9.194766143165056e-99,Low,Medium-Low Risk,Low confidence,,0.0
BK69,1.0,High,Medium-High Risk,High confidence,0.32113142182580784,0.0
BK72,1.0916018786813252e-89,Low,Medium-Low Risk,Low confidence,0.44371330830416433,0.0
BK73,1.0,High,Medium-High Risk,High confidence,0.4586270832406711,0.0
BK75,1.8858216354333922e-93,Low,Medium-Low Risk,Low confidence,0.4464027145540339,0.0
BK76,0.9999999999999999,High,Medium-High Risk,High confidence,0.21052272208645575,0.0
BK77,0.9999999999999999,High,Medium-High Risk,High confidence,0.33422723039505475,0.0
BK78,1.0,High,Medium-High Risk,High confidence,0.24324428426277567,0.0
BK79,1.0,High,High Risk,High confidence,,0.0
BK81,1.0000000000000004,High,Medium-High Risk,High confidence,,0.0
BK82,1.0,High,Medium-High Risk,High confidence,0.13486695705599158,0.0
BK83,0.9999999999999997,High,High Risk,High confidence,,0.0
BK85,7.029732433094725e-92,Low,Medium-Low Risk,Low confidence,,0.0
BK88,1.0,High,Medium-High Risk,High confidence,0.37228777736962504,0.0
BK90,2.3312924028696652e-86,Low,Medium-Low Risk,Low confidence,0.26192890725969686,0.0
BK91,1.0000000000000004,High,High Risk,High confidence,,0.0
BK95,2.914079676372491e-81,Low,Medium-Low Risk,Low confidence,,0.0
BK96,6.173274307183837e-91,Low,Medium-Low Risk,Low confidence,,0.0
BX14,0.9999999999999999,High,High Risk,High confidence,,0.0
BX26,2.422860269703513e-92,Low,Medium-Low Risk,Low confidence,,0.0
BX29,0.9999999999999996,High,Medium-High Risk,High confidence,,0.0
BX34,1.0,High,Medium-High Risk,High confidence,,0.0
BX36,0.9999999999999998,High,Medium-High Risk,High confidence,,0.0
BX39,1.0,High,Medium-High Risk,High confidence,,0.0
BX41,1.0,High,Medium-High Risk,High confidence,,0.0
BX63,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
MN01,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
MN03,1.0,High,Medium-High Risk,High confidence,0.47187793199676614,0.0
MN04,0.9999999999999999,High,High Risk,High confidence,0.14687402061085966,0.0
MN06,4.696947768369994e-81,Low,Medium-Low Risk,Low confidence,,0.0
MN09,1.0237999498952113e-89,Low,Medium-Low Risk,Low confidence,0.328160728878984,0.0
MN11,1.0,High,Medium-High Risk,High confidence,0.49033975864805757,0.0
MN12,1.0,High,Medium-High Risk,High confidence,0.36737311720054366,0.0
MN13,0.9999999999999999,High,Medium-High Risk,High confidence,0.5983022033248203,0.0
MN14,1.0,High,Medium-High Risk,High confidence,0.654751648207614,0.0
MN15,1.0,High,Medium-High Risk,High confidence,0.38837392880335286,0.0
MN17,1.0,High,Medium-High Risk,High confidence,0.535754542492973,0.0
MN19,1.0,High,Medium-High Risk,High confidence,0.5261938537437969,0.0
MN20,1.0,High,Medium-High Risk,High confidence,0.4592315470086274,0.0
MN21,9.542051227567531e-90,Low,Medium-Low Risk,Low confidence,,0.0
MN22,1.0,High,High Risk,High confidence,0.6286338412323781,0.0
MN23,0.9999999999999999,High,Medium-High Risk,High confidence,0.5228752441607432,0.0
MN24,1.0,High,Medium-High Risk,High confidence,0.4743049579241695,0.0
MN25,1.0,High,Medium-High Risk,High confidence,0.4879473008459777,0.0
MN27,1.0,High,Medium-High Risk,High confidence,0.4715261531414431,0.0
MN28,2.1302140659773805e-96,Low,Medium-Low Risk,Low confidence,,0.0
MN31,0.9999999999999999,High,Medium-High Risk,High confidence,0.5697237055791653,0.0
MN32,1.0,High,Medium-High Risk,High confidence,,0.0
MN33,1.0,High,Medium-High Risk,High confidence,0.3594879340585572,0.0
MN34,1.0000000000000002,High,Medium-High Risk,High confidence,0.14290547148282084,0.0
MN35,0.9999999999999999,High,Medium-High Risk,High confidence,0.44470459724359646,0.0
MN36,0.9999999999999999,High,Medium-High Risk,High confidence,0.2648021015240765,0.0
MN40,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
MN99,9.305810926307315e-46,Low,Low Risk,Low confidence,,0.0
QN01,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
QN02,1.0,High,Medium-High Risk,High confidence,,0.0
QN03,3.2581255988977786e-81,Low,Medium-Low Risk,Low confidence,,0.0
QN05,1.0,High,High Risk,High confidence,,0.0
QN06,1.0233862684292543e-98,Low,Medium-Low Risk,Low confidence,0.6024796784185544,0.0
QN07,1.0000000000000002,High,High Risk,High confidence,,0.0
QN08,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
QN12,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
QN15,1.0000000000000002,High,High Risk,High confidence,,0.0
QN17,1.0,High,Medium-High Risk,High confidence,0.6766899118404798,0.0
QN18,1.0,High,Medium-High Risk,High confidence,,0.0
QN19,7.233542070749033e-83,Low,Medium-Low Risk,Low confidence,,0.0
QN20,1.0,High,Medium-High Risk,High confidence,0.5224580592863408,0.0
QN21,1.0000000000000004,High,Medium-High Risk,High confidence,,0.0
QN25,6.73206751279603e-104,Low,Medium-Low Risk,Low confidence,,0.0
QN28,1.0000000000000002,High,High Risk,High confidence,0.53714311403737,0.0
QN29,0.9999999999999999,High,Medium-High Risk,High confidence,0.4052529578335635,0.0
QN30,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
QN31,1.0,High,Medium-High Risk,High confidence,0.36412575890290055,0.0
QN33,1.0,High,Medium-High Risk,High confidence,0.8430669124654574,0.0
QN34,1.0000000000000002,High,Medium-High Risk,High confidence,0.5991607484451652,0.0
QN35,1.123084119500405e-97,Low,Medium-Low Risk,Low confidence,0.5444871727279005,0.0
QN37,1.0000000000000007,High,High Risk,High confidence,,0.0
QN38,0.9999999999999997,High,High Risk,High confidence,0.3082859952200209,0.0
QN41,1.0,High,High Risk,High confidence,,0.0
QN42,1.0,High,Medium-High Risk,High confidence,,0.0
QN43,1.0,High,High Risk,High confidence,,0.0
QN44,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
QN50,3.347977508004279e-88,Low,Medium-Low Risk,Low confidence,,0.0
QN53,1.0,High,Medium-High Risk,High confidence,0.6195582649638652,0.0
QN54,0.9999999999999999,High,Medium-High Risk,High confidence,0.46014508953118993,0.0
QN55,1.0,High,Medium-High Risk,High confidence,0.5000133781185928,0.0
QN56,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
QN57,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
QN60,0.9999999999999997,High,Medium-High Risk,High confidence,,0.0
QN61,1.0,High,High Risk,High confidence,0.44269103916795915,0.0
QN62,1.4184044528672535e-82,Low,Medium-Low Risk,Low confidence,,0.0
QN63,1.0,High,Medium-High Risk,High confidence,,0.0
QN68,1.3758391513355172e-94,Low,Medium-Low Risk,Low confidence,,0.0
QN70,1.0,High,High Risk,High confidence,0.5683538995493491,0.0
QN71,1.0,High,High Risk,High confidence,0.3589320875537514,0.0
QN72,0.9999999999999999,High,High Risk,High confidence,,0.0
QN76,0.9999999999999999,High,High Risk,High confidence,0.20519733012841562,0.0
QN98,0.9999999999999999,High,Medium-High Risk,High confidence,,0.0
SI01,1.0,High,High Risk,High confidence,,0.0
SI05,1.0,High,Medium-High Risk,High confidence,,0.0
SI07,5.4832834693829274e-101,Low,Medium-Low Risk,Low confidence,0.6027362232588781,0.0
SI08,1.1491194486760914e-45,Low,Low Risk,Low confidence,,0.0
SI11,1.0,High,Medium-High Risk,High confidence,,0.0
SI12,0.9999999999999996,High,Medium-High Risk,High confidence,0.5526597515852459,0.0
SI14,1.9580821568127915e-105,Low,Medium-Low Risk,Low confidence,,0.0
SI22,1.0,High,Medium-High Risk,High confidence,,0.0
SI24,7.712434557400121e-82,Low,Medium-Low Risk,Low confidence,,0.0
SI28,1.0,High,High Risk,High confidence,,0.0
SI35,1.9410883649420003e-103,Low,Medium-Low Risk,Low confidence,,0.0
SI36,1.0,High,High Risk,High confidence,,0.0
SI37,1.0000000000000002,High,Medium-High Risk,High confidence,,0.0
SI45,1.0,High,High Risk,High confidence,,0.0
SI54,0.9999999999999999,High,High Risk,High confidence,,0.0
